Brad,103,6,0,95,2,0,70,1,0,71,1,0,116,11,1,82,5,1,57,2,0,68,0,0,84,4,1,82,5,1,90,8,1,73,4,1,97,7.5,1
Tony,97,4,0,115,8,0,85,5,0,103,6,1,105,9,1,76,2.5,0,121,10,1,79,2,0,94,7,0,63,1,0,69,4,0,80,5,0,114,10,1
Ryan,104,7,1,108,7,1,98,8,0,93,4.5,0,75,2,0,84,7,0,64,3,0,78,1,1,76,2,1,90,6,0,70,5,0,71,3,0,101,9,1
Craig,110,9,1,94,1,1,76,2,1,109,8,0,86,4,1,83,6,0,43,0,0,98,9.5,0.5,75,1,0,67,2,1,58,1.5,1,63,2,0,71,3,0
Ross,95,3,0,124,11,1,84,4,0,80,2,0,63,1,0,79,4,1,45,1,0,104,11,1,52,0,0,50,0,0,58,1.5,0,60,1,0,70,2,1
Jeff,72,0,0,96,3,0,58,0,0,86,3,0,54,0,0,111,11,1,68,4,0,81,3,0,80,3,0,69,3,0,80,6,1,56,0,0,64,1,0
Nick,117,11,1,97,4,1,121,10.5,1,134,11,1,101,8,0,69,1,0,77,6,0,92,7.5,1,112,9,1,101,8,1,88,7,0,152,11,1,97,7.5,0
Jason,109,8,0,101,5,0,92,6,1,125,10,1,84,3,0,90,8,1,75,5,1,88,5,1,92,6,0,110,9,1,132,11,1,83,6,1,120,11,1
Seth,98,5,1,122,10,1,79,3,0,113,9,1,107,10,1,108,10,1,107,0,1,92,7.5,1,105,8,1,73,4,0,98,9,1,93,8,1,93,6,1
Tyler,81,1.5,0.5,118,9,1,119,9,1,58,0,0,90,5,1,64,0,0,89,7,1,98,9.5,0.5,113,10,1,129,11,1,103,10,1,130,10,1,89,4,0
Aaron,112,10,1,78,0,0,121,10.5,1,106,7,1,99,7,0,95,9,1,95,8,1,87,4,0,86,5,0,116,10,1,54,0,0,118,9,1,56,0,0
Tom,81,1.5,0.5,103,6,0,93,7,1,93,4.5,1,97,6,1,76,2.5,0,128,11,1,89,6,0,117,11,1,100,7,0,68,3,0,92,7,0,90,5,0
